course, semester, assessment, indicator, exceeds, meets, developing, unsatisfactory
CE 232, Winter 2025, Bernoulli lab, identify, 0, 75, 25, 0
CE 232, Winter 2025, Bernoulli lab, select, 0, 100, 0, 0
CE 232, Winter 2025, Bernoulli lab, conduct, 0, 80, 20, 0
CE 232, Winter 2025, Bernoulli lab, analyze, 0, 75, 25, 0
CCE 306, Winter 2025, Soil and aggregate lab, conduct, 0, 100, 0, 0
CCE 306, Winter 2025, Soil and aggregate lab, analyze, 0, 50, 50, 0
CE 341, Winter 2025, Soil lab, identify, 0, 100, 0, 0
CE 341, Winter 2025, Soil lab, select, 0, 0, 100, 0
CE 341, Winter 2025, Soil lab, conduct, 0, 100, 0, 0
CE 341, Winter 2025, Soil lab, analyze, 0, 50, 50, 0
CE 351, Winter 2025, Water treatment jar test, identify, 4, 54, 21, 21
CE 351, Winter 2025, Water treatment jar test, conduct, 4, 60, 15, 21
CE 351, Winter 2025, Water treatment jar test, analyze, 4, 62, 13, 21
